session,AI,driver,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,startpos
F2_19R03AUT_R1,,SAR,S,S,S,S,S,S,S,S,S,S,22
F2_19R03AUT_R2,,BEC,S,S,S,S,S,S,S,S,S,S,15
F2_19R03AUT_R2,,FEW,S,S,S,S,S,S,S,S,S,S,7
F2_19R03AUT_R2,,LUN,S,S,S,S,S,S,S,S,S,S,26
F2_19R03AUT_R2,,LAW,S,S,S,S,S,S,S,S,S,S,14
F2_19R03AUT_R2,,LAA,S,S,S,S,S,S,S,S,S,S,18
F2_19R03AUT_R2,,VER,S,S,S,S,S,S,S,S,S,S,10
F2_19R03AUT_R2,,ZEN,S,S,S,S,S,S,S,S,S,S,1
F2_19R03AUT_R2,,SCH,S,S,S,S,S,S,S,S,S,S,29
F2_19R03AUT_R2,,HYM,S,S,S,S,S,S,S,S,S,S,19
F2_19R03AUT_R2,,VIS,S,S,S,S,S,S,S,S,S,S,13
F2_19R03AUT_R2,,HUG,S,S,S,S,S,S,S,S,S,S,2
F2_19R03AUT_R2,,AND,S,S,S,S,S,S,S,S,S,S,27
F2_19R03AUT_R2,,TSU,S,S,S,S,S,S,S,S,S,S,16
F2_19R03AUT_R2,,CAR,S,S,S,S,S,S,S,S,S,S,28
F2_19R03AUT_R2,,EST,S,S,S,S,S,S,S,S,S,S,23
F2_19R03AUT_R2,,DEF,S,S,S,S,S,S,S,S,S,S,17
F2_19R03AUT_R2,,PIQ,S,S,S,S,S,S,S,S,S,S,3
F2_19R03AUT_R2,,KAR,S,S,S,S,S,S,S,S,S,S,11
F2_19R03AUT_R2,,PUL,S,S,S,S,S,S,S,S,S,S,9
F2_19R03AUT_R2,,VIP,S,S,S,S,S,S,S,S,S,S,8
F2_19R03AUT_R2,,YIF,S,S,S,S,S,S,S,S,S,S,20
F2_19R03AUT_R2,,PER,S,S,S,S,S,S,S,S,S,S,21
F2_19R03AUT_R2,,DEL,S,S,S,S,S,S,S,S,S,S,25
F2_19R03AUT_R2,,FER,S,S,S,S,S,S,S,S,S,S,24
F2_19R03AUT_R2,,ARM,S,S,S,S,S,S,S,S,S,S,6
F2_19R03AUT_R2,,DAR,S,S,S,S,S,S,S,S,S,S,5
F2_19R03AUT_R2,,SHW,S,S,S,S,S,S,S,S,S,S,4
F2_19R03AUT_R2,,NAT,S,S,S,S,S,S,S,S,S,S,30
F2_19R03AUT_R2,,DRU,S,S,S,S,S,S,S,S,S,S,12
F2_19R03AUT_R2,,SAR,S,S,S,S,S,S,S,S,S,S,22
F2_19R04SIL_R1,,BEC,H,H,H,H,H,H,H,H,H,H,12
F2_19R04SIL_R1,,FEW,H,H,H,H,H,H,H,H,H,H,13
F2_19R04SIL_R1,,LUN,H,H,H,H,H,H,H,H,H,H,4
F2_19R04SIL_R1,,LAW,H,H,H,H,H,H,H,H,H,H,7
F2_19R04SIL_R1,,LAA,H,H,H,H,H,H,H,H,H,H,24
F2_19R04SIL_R1,,VER,H,H,H,H,H,H,H,H,H,H,18
F2_19R04SIL_R1,,ZEN,H,H,H,H,H,H,H,H,H,H,17
F2_19R04SIL_R1,,SCH,H,H,H,H,H,H,H,H,H,H,9
F2_19R04SIL_R1,,HYM,H,H,H,H,H,H,H,H,H,H,14
F2_19R04SIL_R1,,VIS,H,H,H,H,H,H,H,H,H,H,25
F2_19R04SIL_R1,,HUG,H,H,H,H,H,H,H,H,H,H,10
